Team,G,WL,FT,FTA,FTpct,FG3,FG3A,FG3pct,W,L
Seattle U (WAC),30,6-24,333,478,69.7,199,648,30.7,6,24
Robert Morris (Horizon),30,11-19,326,468,69.7,159,583,27.3,11,19
Fla. Atlantic (C-USA),30,12-18,427,613,69.7,140,508,27.6,12,18
Penn St. (Big Ten),31,14-17,367,527,69.6,192,579,33.2,14,17
LSU (SEC),36,34-2,603,867,69.6,186,537,34.6,34,2
USC Upstate (Big South),31,11-20,340,489,69.5,131,481,27.2,11,20
New Orleans (Southland),28,8-20,349,502,69.5,142,503,28.2,8,20
Bucknell (Patriot),30,13-17,319,459,69.5,121,419,28.9,13,17
Northwestern (Big Ten),30,9-21,380,547,69.5,143,535,26.7,9,21
A&M-Corpus Christi (Southland),31,19-12,409,589,69.4,163,539,30.2,19,12
Eastern Mich. (MAC),30,15-15,334,481,69.4,154,558,27.6,15,15
Quinnipiac (MAAC),30,21-9,362,522,69.3,147,492,29.9,21,9
Cornell (Ivy League),27,10-17,300,433,69.3,100,447,22.4,10,17
George Washington (Atlantic 10),31,18-13,284,410,69.3,253,762,33.2,18,13
Abilene Christian (WAC),30,15-15,320,462,69.3,246,761,32.3,15,15
Rhode Island (Atlantic 10),33,26-7,343,496,69.2,259,748,34.6,26,7
UT Arlington (WAC),31,14-17,522,755,69.1,113,382,29.6,14,17
Southern Ill. (MVC),31,12-19,376,544,69.1,175,526,33.3,12,19
Troy (Sun Belt),30,17-13,483,699,69.1,150,537,27.9,17,13
Colorado (Pac-12),34,25-9,397,575,69,202,580,34.8,25,9
UNI (MVC),33,23-10,418,606,69,281,800,35.1,23,10
Cincinnati (AAC),30,9-21,372,540,68.9,134,436,30.7,9,21
South Carolina (SEC),37,36-1,569,826,68.9,163,525,31,36,1
Jacksonville St. (ASUN),30,16-14,360,523,68.8,180,620,29,16,14
North Dakota St. (Summit League),30,18-12,399,580,68.8,191,599,31.9,18,12
California Baptist (WAC),35,22-13,489,711,68.8,294,1003,29.3,22,13
Kennesaw St. (ASUN),31,15-16,430,626,68.7,148,490,30.2,15,16
UMES (MEAC),30,10-20,423,616,68.7,101,462,21.9,10,20
Baylor (Big 12),33,20-13,372,542,68.6,230,707,32.5,20,13
Western Ky. (C-USA),33,19-14,431,628,68.6,289,952,30.4,19,14
UIW (Southland),29,15-14,304,443,68.6,196,587,33.4,15,14
Houston (AAC),31,15-16,362,529,68.4,158,576,27.4,15,16
Clemson (ACC),35,19-16,348,509,68.4,214,692,30.9,19,16
Grambling (SWAC),30,10-20,329,482,68.3,120,483,24.8,10,20
UNC Greensboro (SoCon),30,16-14,337,494,68.2,151,551,27.4,16,14
UC Davis (Big West),30,16-14,270,396,68.2,240,753,31.9,16,14
Arizona (Pac-12),32,22-10,407,597,68.2,173,521,33.2,22,10
Detroit Mercy (Horizon),30,5-25,314,461,68.1,97,445,21.8,5,25
High Point (Big South),32,17-15,303,445,68.1,249,775,32.1,17,15
Iona (MAAC),33,26-7,213,313,68.1,248,625,39.7,26,7
Nicholls (Southland),29,5-24,304,447,68,149,479,31.1,5,24
Denver (Summit League),30,12-18,393,578,68,253,824,30.7,12,18
Chicago St. (DI Independent),28,6-22,324,477,67.9,125,424,29.5,6,22
Wagner (NEC),28,13-15,326,480,67.9,116,399,29.1,13,15
Col. of Charleston (CAA),29,11-18,345,508,67.9,196,648,30.2,11,18
North Carolina (ACC),33,22-11,383,564,67.9,202,641,31.5,22,11
McNeese (Southland),31,12-19,449,662,67.8,143,504,28.4,12,19
UCF (AAC),29,14-15,409,604,67.7,148,508,29.1,14,15
UNC Asheville (Big South),31,12-19,320,473,67.7,168,659,25.5,12,19
Niagara (MAAC),31,18-13,401,593,67.6,136,540,25.2,18,13
Texas (Big 12),36,26-10,472,698,67.6,147,435,33.8,26,10
Vermont (America East),32,25-7,286,423,67.6,193,529,36.5,25,7
Texas Southern (SWAC),29,2-27,413,611,67.6,151,617,24.5,2,27
San Jose St. (Mountain West),31,6-25,354,524,67.6,139,465,29.9,6,25
Binghamton (America East),30,13-17,291,431,67.5,147,480,30.6,13,17
Arkansas (SEC),37,24-13,581,861,67.5,305,1007,30.3,24,13
Auburn (SEC),31,16-15,396,587,67.5,135,445,30.3,16,15
Boise St. (Mountain West),33,17-16,406,602,67.4,206,599,34.4,17,16
Michigan St. (Big Ten),30,16-14,430,638,67.4,241,746,32.3,16,14
St. Francis Brooklyn (NEC),30,11-19,322,478,67.4,161,548,29.4,11,19
Youngstown St. (Horizon),30,19-11,303,450,67.3,235,752,31.2,19,11
Elon (CAA),30,9-21,278,413,67.3,126,444,28.4,9,21
Southeastern La. (Southland),31,21-10,331,492,67.3,131,447,29.3,21,10
Grand Canyon (WAC),31,21-10,402,598,67.2,174,593,29.3,21,10
New Mexico St. (WAC),35,18-17,363,540,67.2,126,483,26.1,18,17
Ole Miss (SEC),34,25-9,422,628,67.2,164,553,29.7,25,9
Ga. Southern (Sun Belt),31,21-10,469,698,67.2,209,634,33,21,10
Penn (Ivy League),29,17-12,251,374,67.1,219,652,33.6,17,12
Mississippi St. (SEC),33,22-11,404,602,67.1,193,547,35.3,22,11
Lipscomb (ASUN),32,20-12,378,564,67,235,694,33.9,20,12
Howard (MEAC),30,16-14,375,561,66.8,186,606,30.7,16,14
Tennessee St. (OVC),29,11-18,407,609,66.8,109,404,27,11,18
CSU Bakersfield (Big West),31,8-23,300,449,66.8,151,565,26.7,8,23
UIC (MVC),36,19-17,488,731,66.8,166,559,29.7,19,17
Samford (SoCon),30,13-17,323,484,66.7,180,544,33.1,13,17
Columbia (Ivy League),34,28-6,445,668,66.6,301,877,34.3,28,6
Army West Point (Patriot),30,13-17,301,452,66.6,200,684,29.2,13,17
Little Rock (OVC),32,21-11,371,559,66.4,21,145,14.5,21,11
Presbyterian (Big South),30,13-17,221,333,66.4,230,663,34.7,13,17
Winthrop (Big South),30,8-22,292,440,66.4,111,404,27.5,8,22
Boston College (ACC),33,16-17,404,609,66.3,149,538,27.7,16,17
NJIT (America East),29,13-16,309,466,66.3,148,483,30.6,13,16
Sam Houston (WAC),30,13-17,403,608,66.3,172,539,31.9,13,17
Jackson St. (SWAC),31,21-10,488,737,66.2,142,440,32.3,21,10
Duquesne (Atlantic 10),31,19-12,337,509,66.2,250,753,33.2,19,12
Oakland (Horizon),30,13-17,380,575,66.1,189,695,27.2,13,17
Norfolk St. (MEAC),33,26-7,411,622,66.1,135,533,25.3,26,7
Yale (Ivy League),27,13-14,280,424,66,157,518,30.3,13,14
Western Mich. (MAC),29,12-17,307,465,66,205,771,26.6,12,17
North Texas (C-USA),31,11-20,334,506,66,145,490,29.6,11,20
